Customer Name,Review Head,Review,Date,Airport Names,Ratings(10)
A Hickling,friendly and efficient service,visited the concorde room on 2 may and used it for around ten hours i stored my hand luggage with the attendant and proceeded to the dining area for breakfast all food served in this lounge is waiter service and menus are scattered around the lounge for you to choose your selection from and change depending on the time of day if you visit the first galleries lounge opposite the concorde room you can request items from their buffet selection and they will be served to you in the concorde room there was a good choice of premium spirits and champagnes as well as teas coffees and soft drinks i booked one of the private cabanas when i organised my trip which is a dedicated day room with bed tv shower toilet free telephone use and room service you can request a cabana for a maximum of four hours its an oasis of calm within an oasis of calm i also had lunch and afternoon tea there good quality food and friendly and efficient service i also used the elemis spa facilities which can be booked twenty eight days in advance if you are a first passenger there is also a boardroom style facility to log on to the internet and printers so you need to produce any paperwork my only criticism is that some of the soft furnishings are beginning to wear slightly,12th May 2014,London Heathrow Airport,5
Kevin Tunnicliffe,very pleasant staff,smallish lounge shared by several airlines very pleasant staff and free bar for ba customers excellent showers mediocre food offerings other airline users pay for alcoholic beverages,1st May 2014,Atlanta Hartsfield Airport,4
Annabel Wharton,lounge size is adequate but not much was done with it,rome fiumicino arrivals terminal is a nightmare but international departures terminal four is state of the art even on the busiest weekend of the year—canonization of john paul ii and john xiii—the space was remarkably civilized the terminal raised expectations for the executive lounge we were flying turkish airlines  in rome they use british airways executive lounge the lounge size is adequate but not much was done with it apart from a series of good abstract prints and a series of photographs of architectural details of rome the space is clinical solid blocks of rectilinear greybeige vinyl sofas and matching chairs suggest that travelers necessarily move in groups of ten –the squares are intimidating for parties of one or two but once these islands are occupied even by a single traveler they become impenetrable by others one side of the space is plate glass blindingly bright so only half of the seating cells can be comfortably occupied especially for travellers suffering from jet lag the initial unsettling affect of the antiintimate seating and hyper lighting is subtly exacerbated of other details of the ambiance the floor carpeted in a nondescript blue feltlike substance is not as might be expected flat rather it rises and falls in just such a way as to make you stumble internet connection is available but requires an inordinately complex set of interventions to access once acquired it is difficult to find one of the few plugs that is not already being used by another harried voyager the culinary experience like the digital environment is disconcerting we were arrived at 1 p lunchtime cereal and yogurt was on offer as well as croissants and cookies breakfast apparently lasts all day at the ba lounge there was a selfserve bar which included red and white wine the red came in a bordeaux bottle but it tasted like it had been decanted from a box our empty glasses stayed with us during the entirety of our wait,1st May 2014,Rome Fiumicino Airport,2
J Ritchie,disinterested staff,absolutely shocking stale and tasteless lumps of bread food in fact that i would be more likely to throw out disinterested staff without doubt with regards to the food on offer this was the worst id ever been to nothing to do with british airways incidentally we were given access by means other than our airline tickets,22nd April 2014,Rome Fiumicino Airport,2
Alan Wan,for a small airport this lounge was excellent,for a small airport this lounge was excellent it was elegant clean and had a respectable selection of food and beverage,22nd April 2014,Malta Airport,4
Christopher Slater-Walker,there is little food available,the worst business lounge ive ever seen there is little food available; what there was consisted of a few different small cakes i think packaged snacks and mixed nuts there is a reasonable selection of drinks both alcoholic and nonalcoholic but the ice was in an open ice bucket and mostly melted; driedup slices of lemon on a plate there is no separate bathroom; you have to use the general public ones outside the lounge the decor is a particularly unpleasant shade of pale purple all in all its a most unwelcoming prospect,16th April 2014,Sofia Airport,2
O Ekland,if hungry eat somewhere else,at osl ba uses the osl lounge owned by airport authorities i often take the late ba flight to lhr after work if hungry eat somewhere else  food and beverages are below standard for ba lounges decent selection of newspapers best feature: the lounge is wonderfully quiet so worth visiting after long day at work to wind down before the flight very comfortable chairs and sofas though not particularly modern or elegant and a quiet atmosphere i like it about 10 mins walk to ba gates from lounge,14th April 2014,Oslo Airport,4
C Padeste,the quality of the food is dropping,the quality of the food is dropping every time i spend some times in this lounge chilli con carne without proper rice ice cream fridge empty quality of wine getting lower and lower i also found surprising that nothing is done in the last year to fix some power sockets that do not work next to seat or on the pc table it seems that ba believe that quality of service is not important for the price of ticket you have to pay maybe they will have a wakeup call like lufthansa when people will fly different airlines,30th March 2014,London Heathrow Airport,3
K Sveningsen,the standard has gone downhill,i think the standard has gone downhill its not as clean as before the wine is mediocre no bread or nice cheese the coffee beans are not the same no more nice different cookies just a pot with a cookie thats has the taste of nothing i was happy to pay the price for club to be able to get in but as for now no way,30th March 2014,London Heathrow Airport,3
Alan Wan,lounge ambience was not the best but very functional,plenty of light snacks of crisps flapjacks brownies biscuits and soup the choice of drinks was impressive choice of wines beers and spirits the lounge ambience was not the best but very functional something to note if you arrive early the check in desks may not be open until a couple of hours before departure and the self service machines will no longer be available,30th March 2014,Jersey Airport,4
H Blumenthal,comfortable seating great showers and washrooms,you need to have the one world gold card to access this lounge if youre travelling business class lounge offers space; comfortable seating great showers and washrooms and a spa with a very good massage for free but most often fully booked a great buffet with a wide choice chilli con carne one of the best ive ever had with a number of dishes you can order from the waiters a huge wine selection of very good wines and vintage champagnes,11th March 2014,London Heathrow Airport,5
R King,spotlessly clean relaxing and fantastic views,spotlessly clean relaxing and fantastic views of airside and runway service by staff very friendly and welcoming there is storage for your luggage if you want to dump everything and relax or walkabout though newark airport has few shopsdutyfree lounge only has 1 shower the food really was amazing worth getting to the airport early enough to eat,7th February 2014,Newark Airport,5
Alan Wan,very spacious and great views,very spacious and great views we experienced breakfast and lunch which were adequate but not as good as the heathrow t5 lounge the hot food was too limited porridge and soup offerings were tasty and nice champagne,7th February 2014,London Gatwick Airport,4
Paul Whiteley,decent tarmac views,ba use the jal sakura business lounge at nrt spacious clean and a separate dining area if one wanted to eat decent tarmac views nice lounge and a pleasant way to spend an hour or so,29th January 2014,Tokyo Narita Airport,4
C Lambie,it is cramped not just at peak times,use this lounge 23 times a month and position is okay subject to which a gates you board from it is cramped not just at peak times and ba seem to have become complacent about improving this toilets can be very risky unless you catch at the moment they have just been cleaned and often filthy and unpleasant food is at travelodge level uk travellers will know what i mean and fails to match standards at some better european airline lounges staff at reception only want to see a card or boarding pass and i think these must be the ones that didnt make the grade at charm school dont get me wrong i like ba but their lounge standards including first here at terminal 5 are now poor,29th January 2014,,2
Paul Whiteley,i always find the lounge too busy to be comfortable,i appreciate this lounge is never going to be empty but i always find the lounge too busy to be comfortable on my last visit just before new year cups and glasses took a relative age to be removed and the food choices seemed less than usual along with having to queue to use the toilet ive had decent stays in this lounge but the last two visits havent been relaxing or pleasurable its got to the point where ive ended up at the espresso cafe at the very end of the southern part of t5,29th January 2014,London Heathrow Airport,3
D Chamberlain,disappointing and poor quality,disappointing and poor quality from the challenge in finding the lounge to the surly receptionist to the very poor range of snacks this was a real disappointment i was flying british airways and it is to be hoped that they will try to persuade the airport to improve this lounge small in size basic in furnishings poorly lit one bottle of wine only in the whole lounge and a choice of one type of beer snacks with very little choice and poor quality lavatories were outside of the lounge unhelpful staff,21st January 2014,Turin Airport,2
D Chamberlain,friendly staff and excellently located,much improve they have enlarged the lounge and offer a reasonable range of snacks sandwiches and drinks the beerwine is fine and the snacks of a good quality friendly staff and excellently located clean well maintained i suspect they will need to upgrade it more for the 2018 world cup as it is relatively basic by some standards but is none the less safe quiet clean and friendly i have been to this lounge many times it does its job,21st January 2014,St Louis Airport,3
Chris Willett,staff member was rude,i am a gold member with ba on 28th december i was flying to tampa with my wife and three youngsters that we care for access to the lounge was denied which i accepted but not having seen the notice not to remove refreshments when i took three small soft drinks and three packets of crisps out to the children i was virtually attacked on my return with a ba staff member waving his finger at me stating it was a massive no no for me to do this i was publicly humiliated with his loud out burst for what i thought to be a small crime the staff member was rude arrogant and had zero customer service skills i would like to name and shame but feel this would lower me to his level on our quick exit i did point out to him that i had seen numerous other clients taking stock from the lounge but this observation was ignored ba have responded to my complaint stating that they have passed my concerns onto the lgw management team,17th January 2014,London Gatwick Airport,2
J Tung,very dark and uninviting,busy lounge in t5a south before new year very dark and uninviting limited viewing area most of the seats face inward the building very limited choice of food  few sandwich one soup and some cakes good selection of wines but depends on where you sit good wifi service was very slow not attentive and the receptionists werent welcoming a very disappointing lounge,10th January 2014,London Heathrow Airport,3
J Tung,spacious seatingworking area,terrace lounge in aberdeen has just been renovated friendly staff spacious seatingworking area and good selection of soft drink also one redwhite wine on offer food is limited to sandwich and cakes but thats sufficient for a regional airport,10th January 2014,Aberdeen Airport,4
K Bong,it is absolutely appalling,this new lounge opened just a week ago it is absolutely appalling there is no food all the trays are empty juice dispensers are empty coffee machines dont work only a few packets of cheap biscuits in a basket when i asked the staff who was rude and unhelpful if the trays and juice dispensers would be refilled the answer was no and he walked away this was 10am the lounge looks pleasant and comfortable enough in the end orange juice was made available but we would have to approach the staff to ask for it wifi is not free,10th January 2014,Turin Airport,2
L Shurey,not an experience i will repeat,not an experience i will repeat  poor service very slow which in hindsight was a blessing given the quality of the food when it finally arrived to see how a lounge should be run fly qatar airways,6th January 2014,London Heathrow Airport,2
D Chamberlain,more spacious than you first think,this might not have the wow factor of terminal 5 lounges it is very good a fairly long trek to get there but efficient friendly professional more spacious than you first think good internet excellent range of wines food is good quality though a little lacking in variety and with tiny plates good variety of seating and very pleasant environment you can work relax sleep or whatever you need to here clearing up service seems a little under staffed as used plates and glasses can take a long time to be collected  but ba would benefit from more staff on this duty the ones who are there are good,30th December 2013,London Heathrow Airport,4
D Chamberlain,very efficient staff,bustle of the main terminal very efficient staff clearing away welcoming reception staff breakfast food is excellent wide selection of excellent wines and other drinks good internet and very clear information boards it does get busy of course but manages this well clean bathrooms,30th December 2013,London Heathrow Airport,5
D Chamberlain,the variety of food can be a little inconsistent,very good overall i have visited this lounge a number of times  the variety of food can be a little inconsistent at times but the quality is good with a good mix of cold and warm snacks salads etc good range of drinks and nice selection of wine  though it is a pity that the cava has seemingly been withdrawn comfortable large bright with natural light and excellent view of the runway  huge glass front the lounge which extends along its whole length reception is friendly and professional wifi system is frustrating  you have to collect scratchcards from reception which only last 30 minutes  seems unnecessary its a little bit of a challenge to find the lounge but well worth when you do,30th December 2013,Madrid Barajas Airport,4
R Lightbody,the lounge was quiet,fcolgw i entered the lounge after a long a hot journey to the airport the lounge was quiet and it was being shared by the other one world airlines there was no hot or cold food there were only crisps there were plenty of drink options i was very disappointed as british airways have a few flights out of rome to london heathrow london gatwick and london city,23rd December 2013,Rome Fiumicino Airport,2
R Vines,the pre-flight buffet was unappetizing,surprisingly poor the preflight buffet was unappetizing i found nothing i wanted to eat and the staffer on the door to that section keeping away other airlines passengers was unfriendly to the point of rudeness the main lounge is horribly lit you have to find someone if you want a glass of champagne and there are not that many staff around it is so different from virgins lounge at jfk im just confused by contrast the ba lounge at city airport in london is fine,23rd December 2013,New York JFK Airport,3
R Vines,staff serving was friendly and efficient,the ba allbusiness service to jfk was a fine flight the lounge at city is surprisingly good for a fairly small space the snacks and drinks were fine and staff serving was friendly and efficient the hike to the washrooms is tiresome,23rd December 2013,London City Airport,3
Richard Berger,the worst airport lounge i have visited,british airways galleries first lounge at jnb is the worst airport lounge i have visited ba should be absolutely ashamed to call this a lounge much less a first class lounge slow unusable internet poor or nonexistent service lousy food which is identical to the adjoining business lounge champagne sitting in lukewarm water with no ice for 2 hours,22nd November 2013,Johannesburg Airport,1
H Rowe,it was a let down to say the least,i received complimentary use of this lounge when i took an iberia flight that connected in ny i heard that ba has great lounges so i was looking forward to it it was a letdown to say the least i was greeted to 3 stale inchwide sandwich slivers on a tray set off to the side bottles of water had not been replenished i was starving and asked they would be replenishing fooddrinks etc i was told that everything would arrive around 6  when i asked this question it was about 2 pm it was also extremely hot in the lounge; hot to the point where certainly something must have been wrong with their air systems pay for use of this lounge not a chance in fact youd have to pay me,22nd November 2013,New York JFK Airport,2
M Thompson,very uncomfortable to sit in,easy to find but very uncomfortable to sit in choose between massive armchairs that are far too big or sit at the small tables that are used for eating on rock hard dining chairs good range of drinks on offer but limited snacks only 15 minutes wifi free any more you pay for,15th November 2013,Barcelona Airport,3
R Gordon,busy but not over-full,busy but not overfull i arrived for some lunch snacks before 1455 marrakech departure im vegetarian so it would be appreciated if the sandwiches could be labelled plenty of salad options and quiche or soup but plates are a bit on the small side alcoholic drinks available on a selfservice basis but it appeared a glass of fizz was available if you asked for it i saw it being carried out to people the big drawback about this lounge is that it doesnt have enough power points the only ones i could find were situated next to seats right round the l shaped lounge to the left also its not clear to passengers where the toilets are if you miss them on the way in loads of people are left wandering aimlessly around the computer area only to have walk back all the way round to the entryexit signs the coffee is still excellent from the machine  why its so foul onboard club europe is anyones guess my only other moan is that unless youre a frequent flyer from lgw its not clear how far the gate is from the lounge no map on the mobile app nor anything in the highlife magazine gate 54 appeared and i wasnt sure if i had to walk all the way over that irritating airbridge which adds another 10 minutes to your journey,15th November 2013,London Gatwick Airport,4
S Albury,has a very limited range of food and drink,this lounge has a very limited range of food and drink but this would be just about acceptable if there was somewhere to escape the relentless sax led funk background music dreadful,15th November 2013,Atlanta Hartsfield Airport,3
M Ackermans,the worst lounge that i have been in,this is the worst lounge that i have been in breakfast only sweet biscuits sweet croissants some sandwiches  early in the morning and once the food is gone it is gone so do yourself a favour and do not come to the le anfore lounge as it is not worth the trouble i would hate to think what they charged qantas for the orange juice and the coffee we had,6th October 2013,Rome Fiumicino Airport,3
Robert Donnelly,overall a disappointment even with a discount,overall a disappointment even with a discount because time blocks are sold based upon your departure time we were obliged to buy 3hours of access when we only needed two on the plus side the lounge is calm airy comfortable and has great views of the tarmac on the other hand staff were indifferent and insufficiently aware of the needs of the buffet station the food itself was barely okay selection and quality were narrow the hot dishes most certainly were not and i worried about that wine selection was also okay house selections were canadian brands was it worth $85cad+ no,6th October 2013,Toronto Pearson Airport,3
Les Young,found it to be very comfortable,we had a two hour wait in the lounge and found it to be very comfortable and the complimentary hot and cold food was excellent there was a complimentary bar as well free wifi and special areas for viewing tv programs and also working areas with desktop computers,6th October 2013,London Heathrow Airport,5
Tony McLaughlin,much improved from my last visit 3 years ago,much improved from my last visit 3 years ago wifi is available the bathrooms are in the lounge it is air conditioned it is bigger good selection of drinks although you have to ask the desk to replenish snacks only very good for a regional airport,6th October 2013,Toulouse Airport,3
Roger Tilling,a good selection of food and drinks on offer,the last time i visited the lgw ba terraces lounge it was on two floors  now there is only one entry was fast and there is a good selection of food and drinks on offer it was about midday and there was a full and extensive salad buffet with cold cuts there was also a selection of sandwiches the wide drinks selection is there but the sheer volume of passengers makes it like a january sale ba has removed a number of flights from gatwick and moved them to heathrow and halved the floor space of its lounge as a result however the remaining floor space isnt enough for the flights still operating from gatwick so expect crowds empty food trays no drink glasses and occupied showers rest assured that the sandwiches will never be stale  they are never available long enough to get that way,6th October 2013,London Gatwick Airport,3
D Burrows,superb level of service,superb level of service  attentive and friendly without being over the top excellent range of wine and other drinks very good food calm and relaxed atmosphere excellent washroom facilities,6th October 2013,London Heathrow Airport,5
T McLaughlin,comfortable and serene,much better than the north lounge ample breakfast food comfortable and serene recommended,6th October 2013,London Heathrow Airport,5
Alan Wan,only negative was painfully slow wifi,decent food on offer cheese cakes a curry mushroom soup and some thai titbits that were very tasty reasonable wine choice mainly australian including sparkling wine rather than champagne staff were very efficient at clearing plates there appeared to be plenty of showers although i didnt need to use them the only negative was painfully slow wifi i gave up trying i also tried to jal lounge it was more spacious but ba had better drink and marginally better food,6th October 2013,Bangkok Suvarnabhumi Airport,3
Nadia Ridout-Jamieson,ridiculously busy dirty and poor food,ridiculously busy dirty and poor food how did ba ever sink so much the north lounge at heathrow is now beyond the pale and the south lounge is not much better it is not a pleasant experience and compares unfavourably to the virgin lounge at heathrow by some distance its hard to find any privacy in these lounges the food at best is of average quality and i am unsurprised to read that the food standards agency has ordered improvements in basic hygiene levels in these lounges im afraid i too myself off to the eat cafe for coffee i felt the £175 i paid there was better value and certainly the coffee was better shame on you ba for the prices you charge you should treat your club class passengers with more respect,6th October 2013,London Heathrow Airport,3
A York,poor wifi lazy staff and pokey lounge,poor wifi lazy staff and pokey lounge front desk ran out of buffet tickets for business class diners and just generally feels badly organized i did a speed test on the wifi and it was <1 mbs lounge is shared with aa but really cant accommodate many people at all some nice armchairs in first area but otherwise cramped and uncomfortable i fly out out here often and its just not good enough for ba,15th September 2013,Philadelphia Airport,2
James Myers,all the staff were very nice and welcoming,i visited this lounge at the end of a wonderful trip to the niagara falls area for a family reunion flying in and out of toronto from london part of the enjoyment was travelling in business class club world and on the return trip i had several hours to enjoy the lounge before the night flight what made it special for me was the very kind and attentive manager all the staff were very nice and welcoming they are good ambassadors for ba,14th August 2013,Toronto Pearson Airport,5
D West,what a pleasant surprise,thought wed try the lounge as it was yards away from departure gate what a pleasant surprise quiet and peaceful and away from the crowds in the mail lounge i think its even better than first,31st July 2013,London Heathrow Airport,4
A Simon,found this lounge great for relaxing and unwinding,i found this lounge great for relaxing and unwinding as only british airways first class passengers are allowed in unless you have your 5000 frequent flier tier points to get a concorde room card all gold and silver card holders use the galleries lounges meaning this one is much more quiet and peaceful staff did a good job keeping the lounge clean but sometimes this meant that they took a bit too much time to fulfill passengers requests although they definetly did not outdo themselves in terms of the restroomshower quality they did a good job with it and i found each well kept business center had pretty fast internet and wifi worked well although the food options offered were all very tasty one thing i disliked about this lounge was that those options were pretty limited and other than a few main course choices there were only light snacks available upon request overall i think britsh airways took a good risk by not making this lounge extremely large and instea d putting their focus on the quality of the area and i would definetly visit again and recommend it to others,31st July 2013,London Heathrow Airport,5
A Simon,it doesn't open until 4pm for the evening flights,the only downside to this lounge is that it doesnt open until 4pm for the evening flights i am not sure if it is open in the morning for the morning flight out of jfk so if you have a long layover chances are you will have to spend some time in the galleries first and terraces lounges which are nice but dont touch the quality of this lounge a very tranquil and peaceful area british airways has made sure there are almost too many staff members so that while food is prepared the lounge is cleaned etc there are also staff available to help with anything you need when dinner is available the quality and choice of food is fantastic and there is a wide selection of snacks available upon request when in search of something lighter the wifi works well and there are also 3 computers in the back a small quiet room that could easily be missed provides a nice place to relax the only negative to this lounge is that the spashower rooms are not in the lou ge so to take a shower i had to walk across the terminal and into the business class lounge but its a small terminal so its not that bad overall this has to be one of my favorite lounges in the world and i actually prefer it over the concorde room at london heathrow,31st July 2013,New York JFK Airport,5
Alan Wan,surprised how good the lounge was,having visited the ba first lounges at jfk and lgw and being disappointed i was very surprised how good the lounge was lots of space and natural light and good food and drink choice the mrs and i had made to order food as well as helping ourselves to the hot buffet and cakes we felt very spoilt nice champagne only let down was the johnny walker blue available at lgw was missing,7th July 2013,London Heathrow Airport,4
B Wijesinghe,food service is merely average,31 may 2013 afternoon and evening usage due to a long layover the lounge space is quite nice and functions reasonably well despite lacking shower facilities the glass tube shaped terminal building offers nice tarmac views from this lounge the food service is merely average most of the day but the beverage service is quite good a dinner buffet was served much too late for the sleeper service flight ba does this to exclude the cx customers who share the lounge but it gives ba passengers only about an hour prior to boarding leaving very little time for flexibility lounge front counter staff members were outstanding and went out of their way to make me feel welcome overall one of the nicer ba lounges though not quite as well equipped as their lounges at lhr t5,7th July 2013,Dubai Airport,4
I Johnstone,very small lounge for the size of airport,very small lounge for the size of airport and became very busy toward departure time of mid afternoon flight very attentive reception staff food on offer at approximately 1400 hrs was fine sandwich selection pastries soup biscuits crisps nuts etc lounge staff cleared and cleaned up efficiently this lounge just needs to be extended as it is too small close to gates 10 +11 for the lhr flights and boarding calls made timely,7th July 2013,Edinburgh Airport,4
D Salter,clear up service of used plates and mugs somewhat slow,good welcome despite being busy plenty of seating  either for sitting at table to eat or just sitting great selection of food which was frequently refreshed clear up service of used plates and mugs somewhat slow great viewing of planes landing toilet facilities clean and sufficient,7th July 2013,London Heathrow Airport,5
P Donald,the food and service levels are dismal,the aesthetics of the lounge are very pleasing the food and service levels are dismal food is served under hot lamps but unfortunately they dont do their work food is cold attempting to speak to staff made no difference british airways are expensive customers who part with well earned cash deserve an above average experience this wasnt average it was dismal,7th July 2013,London Heathrow Airport,2
N White,quality and choice of the food has gone downhill,very poor the quality and choice of the food has gone downhill they must be on an economy drive or changed supplier as the difference has been very noticeable ba are falling behind in the premium class im writing this in the lounge on the worlds slowest internet connection too,7th July 2013,London Heathrow Airport,3
David Carter,huge disappointment with the concorde lounge,first time flying in first through t5 and huge disappointment with the concorde lounge  no dedicated security checks means you stand in a queue for 30 minutes lounge is small and cramped  staff poorly trained and clearly have no natural customer service flair restaurant booths were full when we were there  staff were unhelpful and no booking system meaning you need to go back over and again to find space in the end we went to the gordon ramsey opposite the lounge orders not fulfilled in the bar area or the terrace carpets stained and the whole room looking tired elmis spa has no dedicated area for first in fact we couldnt get in  as priority is first come rather than first then business overall dont use this lounge and t5 as any kind of reason to fly british airways,7th July 2013,London Heathrow Airport,2
Pat Marwick,very disappointed in the concorde room,very disappointed in the concorde room the dining staff seemed almost irritated that we wanted breakfast scrambled eggs were cold im still waiting for the second cup of coffee i requested very pleasant seating outside in the terrace area but so difficult to catch the attention of the staff i eventually went up to the bar myself but the one guy was busy filling orders for the waitresses and i had to wait to catch his attention i saw no food except for the food served in the dining area next time we will go to the galleries lounge and help ourselves,29th May 2013,London Heathrow Airport,4
J Rodder,the lounge offers a basic product,the ba lounge at warsaw airport is located after immigration control on the lower level a fairly quiet lounge with hot and cold drinks available but a poor selection of snacks crisps and nuts seem to make up bas choice of food in warsaw although a few stale bread rolls were available with cheese the lounge offers a basic product,29th May 2013,Warsaw Chopin Airport,3
J Henson,plenty of alcohol available,late morning flight to heathrow i found the lounge relatively easily warm welcome limited flight information in the lounge but flight was called in plenty of time 40 minutes prior and boarding had only just started when we arrived travelling to the gate g12 involved using a shuttletrain so it is worth giving yourself plenty of time lounge very spacious newspapers available but no english language magazines food limited but  too late for breakfast and too early for lunch catering consisted of crisps nuts fruit and a few pastries coffee machine broken beer on tap but another passenger commented that the barrel needed to be changed plenty of alcohol available including prosecco luggage storage space available toilets decent and within lounge,29th May 2013,Rome Fiumicino Airport,3
J Henson,very limited hot food available in this lounge,mid morning flight to rome a reasonably warm welcome at the front desk decent selection of newspapers and magazines the lounge was very busy and it was a struggle to find 2 seats in particular ones surrounded by used glasses plates and cups wifi was difficult to connect to although more the fault of myself and my ipad password readily displayed and there is a a guide in the lounge for ipad users champagne available on request and unusually freely available in the bar area selection of basic breakfast items juices and snacks there is very limited hot food available in this lounge toilets very clean,29th May 2013,London Gatwick Airport,3
Christopher Slater-Walker,it didn't seem too busy even on a friday evening,we had some difficulty finding this lounge; on our first attempt at following the vip signs we ended up at a different lounge where we could have stayed but we were advised that there was another lounge much closer to our gate which was in fact the case its a comfortable lounge and it didnt seem too busy even on a friday evening there are different types of seating including desks and tables as well as a lot of very comfortable armchairs there is a very nice rest area which is kept in semi darkness with beds where you can take a nap there are plenty of drinks available including wines spirits coffee and various soft drinks the food is a little disappointing consisting of a small range of sandwiches a fresh batch was delivered while we were there and they seemed quite freshly made and various other snacks nothing more substantial is available there seems to be no more than 15 minutes of free wifi available which is rather disappointing for a business lounge together with the poor signage towards the lounge and the obvious lack of airport staff in general for the first time visitor this lounge gets an average score from us if you know where it is already then you may find it better we did enjoy the chance to relax for a couple of hours before our departure though,16th April 2013,Barcelona Airport,4
H Pugh,lounge is a bit tired,the lounge is a bit tired and wifi access is via a password at the reception area in terms of refreshments the lounge has to be the worst i have ever experienced snacks were just about it and they were few and far between there was a large basket of biscuit for cheese but no cheese on offer when i enquired about this at reception i was curtly told “we offer sandwiches from 3pm thats it” i entered the lounge at 12:30pm some beer spirits and wine were available but not a great selection there are no toilets in the lounge so to go you have to take everything with you and its a trek,4th April 2013,Berlin Tegel Airport,2
B Johnston,what a disappointment. canteen style food,what a disappointment canteen style food food served in metal canteen holders were a fitting receptacle for clumps of penne pasta and tomato sauce cheese served in the same metal container chunks of cheddar and indifferent blue no wonder the majority were feasting on kettle chips as the only fresh oasis in a sea of processed food we were tempted to slip next door to the one where we knew we could order a fresh cooked snack before boarding but instead we are hopeful that the food on board may be better and therefore we will maintain our appetites shame on ba for not show casing the best of british fare when passengers are leaving the uk,8th March 2013,London Heathrow Airport,3
Mark McCutcheon,experienced appalling customer service,as a qantas club member my wife two young children and i were refused entry as our children were counted as guests a few days earlier we were allowed entry to the ba lounge in vancouver and we have never had problems with qantas lounges bas policy here is unfair to families travelling with kids to make matters worse i raised the issue with the manager and experienced appalling customer service bordering on vindictiveness,18th February 2013,London Heathrow Airport,4
A Twigg,you can easily find yourself in a nice corner,not very well signposted to the location of the lounge i just happened to look left at the correct time excellent lounge though reception is staffed is by informative and jolly staff as the lounge is only used by a handful of flights each day it is quiet and you can easily find yourself in a nice corner with a couple of tables and chairs to spread out full selection of wines spirits and beers were on offer with peroni on draft which is a great addition to any airline lounge hot drinks machine was working a good range of food was on offer with an assortment of finger sandwiches that werent dry or tasteless nice little pasta pots also added a twist to the offerings a good selection pastries in terms of comfort the seating was good the furnishings and little details gave it the signature british airways lounge feel lack of departures screen can make you slightly anxious that youll see your plane trundle past as you are fully reclined at one of the window seats but the receptionist insists she will call the flight for you but being british we need to see it to believe it  by using the free wifi in the lounge keeping an eye on your flights status is possible overall a fantastic terraces lounge outside of the uk much larger than required but not going to complain food on offer left me content and drinks on offer were of expected quality,14th February 2013,Rome Fiumicino Airport,5
Michael Miller,no problems finding a comfortable seat,visited this lounge on a late monday afternoon there were very few people in the lounge when we arrived so no problems finding a comfortable seat the choice of food was very limited and the same as every time we use this lounge the only hot option was soup which although very good surely should not be the only choice in the middle of winter other options were salads cold pasta dish and sandwiches which were beginning to curl at the edges the drinks available were as usual excellent with good wines good choice of spirits and non alcoholic beverages the staff were helpful and friendly the only thing that lets this premium lounge down is the uninspired food choice,4th February 2013,London Gatwick Airport,4
Chris White,no outside windows and quite small,theres almost nothing after customs except the ba lounge great range of drinks and wines cheese and biscuits and a small range of sandwiches and wraps no outside windows and quite small warm welcome comfortable seating,18th January 2013,Bermuda Airport,4
Roger Tilling,it is a quiet and spacious haven with various zones,its a trip up a few escalators at the end of the terminal 5 departure lounge once you are finally there it is a quiet and spacious haven with various zones  you can use the internet relax on a sofa or at a table there are various points for coffee and tea wines and spirits as well as a nice food area for me it was morning and there was a selection of bacon rolls other hot breakfast items yoghurt sliced fresh fruits and juices the washrooms were clean and shower facilites were also available there is a similar lounge close to security but that is planned mainly for domesticeuropean passengers the one at the far end of t5 is better,18th January 2013,London Heathrow Airport,5
J Henson,very welcoming staff on the front desk,visited the ba lounge galleries south lounge in t5a prior to a long haul flight to asia very welcoming staff on the front desk good selection of newspapers and magazines available decent wifi which permitted streaming the cinema area is a good place to relax basic but filling selection of hot food available including cous cous pasta and jacket potatoes with various fillings good selection of wines available attentive staff seemed to be working in the lounge and lounge was kept clean and tidy only minor criticism is that on my several recent visits to this lounge it has been very busy or seemingly near capacity with trouble getting a seat anywhere near the buffet area or the sofa area that overlooks the main concourse and the coffee is of vending machine standard otherwise this is a very good facility,3rd January 2013,London Heathrow Airport,5
Derek Salter,easy to find. pleasant welcome,easy to find pleasant welcome comfortable seating and good view of airport varied and tasteful food direct access from the lounge to the plane just what a lounge should be,22nd November 2012,San Francisco Airport,4
Kevin Tunnicliffe,crowded when we first went in the lounge,arrived at about 11am and the bacon and rolls were thankfully still available crowded when we first went in the lounge cleared toward midday bacon et al replaced by pastries and fruit,8th November 2012,London Heathrow Airport,4
Keith Williams,a spacious comfortable lounge,a spacious comfortable lounge but the selection of food available is no where near as good as that available in lhr t5 however much better than most us airport lounges,7th November 2012,Manchester Airport,2
K Tunnicliffe,the seating was tired and food was almost non existent,compared to other ba lounges in the uk and abroad this one really sucks the location is good as the lounge is circular overlooking the main airside lounge and with runway views the seating was tired and food was almost non existent we had a midmorning transatlantic flight with american booked through ba and there was no evidence of the bacon rolls and other delights we are used to in terminal 5 toilets were in poor condition and the staff were lacklustre to say the least,3rd September 2012,Manchester Airport,5
